,제목,tag,story_tag
1154,(더빙) 명탐정 코난 5기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 범죄"
1155,라이플 이즈 뷰티풀,미소녀,"동아리, 지식전달, 일상, 학교"
1156,Fairy gone,이능력,"무거움, 판타지, 액션, 시대물, 디스토피아"
1157,(더빙) 원피스 17기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1158,이케부쿠로 웨스트 게이트 파크,nan,"추리, 범죄, 마을"
1159,신 테니스의 왕자 : BEST GAMES!! VOL.1,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
1160,꼬씬,nan,"감동, 로맨스, 학교"
1161,신세기 사이버 포뮬러 ZERO,자동차,"경쟁, 철학, 액션, SF, 스포츠, 경기장"
1162,(더빙) 토리코 : 미식신의 스페셜 메뉴,"이능력, 열혈, 헌터","배틀, 판타지, 액션, 개그, 음식"
1163,(더빙) 디지몬 유니버스 어플리 몬스터즈,nan,"우정, 성장, 배틀, 이세계, 판타지, 액션, 아동, 상상의 장소"
1164,이와카케루! -Climbing Girls-,미소녀,"우정, 성장, 스포츠, 경기장"
1165,이니셜 D Extra Stage 2,자동차,"배틀, 경쟁, 스포츠, 경기장"
1166,(자막) 지브리 컬렉션 vol. 3,귀여움,"가족, 감동, 몽환, 판타지, 치유, 농촌"
1167,댄스 위드 데빌즈 -Fortuna-,"귀신, 뱀파이어","역하렘, 무거움, 몽환, 판타지, 로맨스, 사후세계"
1168,크로스 게임 part 2,nan,"성장, 로맨스, 스포츠, 드라마"
1169,킹스레이드 : 의지를 잇는 자들,nan,"우정, 마법, 무거움, 판타지, 액션"
1170,무효와 로지의 마법률상담사무소 2기,"요괴 및 괴물, 이능력, 악마 또는 천사","배틀, 마법, 퇴마, 판타지, 액션"
1171,신 도라에몽 13기,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1172,비밀결사 매발톱단 시즌1,발랄가볍,"일상, 개그"
1173,(자막) 원피스 25기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1174,(자막) 원피스 26기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1175,(더빙) 무적코털 보보보 시즌 2,"히어로, 열혈","액션, 개그, SF"
1176,크로스 게임 part 4,nan,"성장, 로맨스, 스포츠, 드라마"
1177,뉴 꾸러기 닌자 토리 리턴즈,발랄가볍,"아동, 일상, 개그, 마을"
1178,(더빙) 명탐정 코난 16기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 범죄"
1179,디지몬 프론티어 7기 : 고대 디지몬 부활!!,nan,"우정, 성장, 배틀, 이세계, 판타지, 액션, 아동, 상상의 장소"
1180,완간 미드나이트,자동차,"액션, 스포츠, 경기장"
1181,(더빙) 명탐정 코난 6기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 범죄"
1182,Fairy 란마루 ~당신의 마음을 구해드리겠습니다~,미소년,"판타지, 액션, 여성향"
1183,(더빙) 원피스 스탬피드,nan,nan
1184,(자막) 펭귄 하이웨이,nan,"가족, 감동, 판타지, 아동, 자연"
1185,슬레이어즈 에볼루션-R,주체적 여성,"서양풍, 판타지, 액션, 개그"
1186,일반공격이 전체공격에 2회 공격인 엄마는 좋아하세요?,발랄가볍,"판타지, 액션"
1187,극장판 K: Sevens Stories: LOST Small World ~우리 저편에~,이능력,"배틀, 정치, 판타지, 액션, 상상의 장소, 왕궁 및 성"
1188,(더빙) 명탐정 코난 15기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 범죄"
1189,극장판 K Sevens Stories : Circle Vision ~Nameless Song~,이능력,"배틀, 정치, 판타지, 액션, 상상의 장소, 왕궁 및 성"
1190,(자막) 노블레스,"이능력, 뱀파이어, 먼치킨, 카리스마","배틀, 비밀조직, 판타지, 액션, 개그, 학교"
1191,아수라,nan,"살인, 무거움, 철학, 시대물, 공포, 재난"
1192,극장판 K Sevens Stories : 메모리 오브 레드 ~BURN~,이능력,"배틀, 정치, 판타지, 액션, 상상의 장소, 왕궁 및 성"
1193,지구방위대 후뢰시맨,"히어로, 이능력, 로봇",액션
1194,센토루의 고민,동물,"감동, 무거움, 일상, 치유, 학교"
1195,전익의 시그드리파,"미소녀, 싸우는 미소녀","우정, 액션, 개그, 섬"
1196,오다 시나몬 노부나가,nan,"환생, 개그, 시대물, 마을"
1197,폼포코 너구리 대작전,귀여움,"가족, 감동, 무거움, 철학, 몽환, 판타지, 치유, 농촌"
1198,극장판 K Sevens Stories : SIDE : GREEN ~덮어쓴 세계~,이능력,"배틀, 정치, 판타지, 액션, 상상의 장소, 왕궁 및 성"
1199,(자막) 명탐정 코난 : 진홍의 수학여행,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 범죄"
1200,썬더 일레븐 3기,nan,"우정, 배틀, 감동, 판타지, 스포츠"
1201,안녕! 보노보노 3기,"동물, 귀여움","성장, 감동, 철학, 아동, 일상, 개그, 치유, 자연"
1202,(자막) 드래곤 퀘스트 : 다이의 대모험 part 3,전사,"마법, 판타지, 액션"
1203,노기자카 하루카의 비밀 2기,"미소녀, 발랄가볍","로맨스, 학교"
1204,무직전생 : 이세계에 갔으면 최선을 다한다 2기,먼치킨,"마법, 이세계, 환생, 판타지, 액션"
1205,연상연하,nan,nan
1206,핑구 시즌 3,동물,"감동, 아동, 일상, 개그, 상상의 장소"
1207,디지몬 제볼루션,nan,"우정, 성장, 배틀, 이세계, 판타지, 액션, 아동, 개그, 학교"
1208,트랜스포머 프라임 시즌 1,"외계인, 로봇, 전사","배틀, 전쟁, 무거움, 액션, 아동, SF, 상상의 장소"
1209,그리자이아 : 팬텀 트리거 02. 소울 스피드,"군인, 먼치킨","감동, 무거움, 판타지, 액션, 개그, 로맨스, 하렘, 학교"
1210,플란다스의 개 극장판,"동물, 귀여움","우정, 가족, 감동, 슬픔, 시대물, 마을"
1211,(자막) 요리왕 비룡 더 마스터 part 1,먼치킨,"배틀, 경쟁, 대회, 시대물, 음식, 경기장, 상점"
1212,피아체볼레,발랄가볍,"감동, 일상, 개그, 로맨스, 음식"
1213,드래곤볼 슈퍼 2기,"열혈, 먼치킨, 카리스마","성장, 경쟁, 대회, 판타지, 액션, 마을, 경기장"
1214,(더빙) 원피스 23기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1215,(더빙) 무적코털 보보보 시즌 3,"히어로, 열혈","액션, 개그, SF"
1216,플래닛 위드,"히어로, 로봇, 발랄가볍","액션, SF"
1217,극장판 빨간머리 앤: 그린 게이블로 가는 길,"주체적 여성, 발랄가볍, 귀여움","가족, 감동, 일상, 시대물"
1218,Fate/Grand Order -신성원탁영역 카멜롯- Wandering; Agateram,먼치킨,"성장, 배틀, 마법, 서양풍, 무거움, 철학, 판타지, 액션, 마을"
1219,붕괴3rd : 발키리's 키친,"미소녀, 발랄가볍","일상, 음식, 집"
1220,(더빙) 가면라이더 빌드,히어로,"액션, 아동, SF, 마을"
1221,포켓몬스터 XY MEGA EVOLUTION -최강 메가진화- Act3,nan,"우정, 성장, 배틀, 판타지, 액션, 아동"
1222,도라에몽 : 진구의 달 탐사기,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1223,패궁 봉신연의,"이능력, 미소년","전쟁, 몽환, 판타지, 액션, 개그, 시대물, 상상의 장소, 사후세계"
1224,신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 전편,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
1225,극장판 금빛 모자이크 : 프리티 데이즈,"미소녀, 발랄가볍, 교복, 귀여움","우정, 감동, 일상, 치유, 학교"
1226,신 도라에몽 4기,"동물, 발랄가볍, 귀여움","우정, 성장, 감동, 판타지, 아동, 일상, 개그, SF, 치유, 학교, 마을, 집"
1227,요랑아 요랑아,"요괴 및 괴물, 발랄가볍","감동, 판타지, 아동, 일상, 개그, 마을, 집"
1228,원주민 공포만화,귀신,"개그, 공포"
1229,소녀전선 미니극장 - 치유편,발랄가볍,"개그, 마을"
1230,(더빙) 원피스 24기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
1231,캅 크래프트,nan,"액션, SF, 범죄"
