,제목,tag,story_tag
502,낙원추방,로봇,"판타지, SF"
503,"저, 능력은 평균치로 해달라고 말했잖아요!",발랄가볍,"환생, 판타지, 개그, 상상의 장소"
504,꿈의 라이브 프리즘스톤,"연예인, 발랄가볍, 아이돌","우정, 경쟁, 감동, 음악, 경기장, 공연장"
505,테니스의 왕자 part 1,"교복, 미소년, 먼치킨","성장, 배틀, 경쟁, 판타지, 스포츠, 학교, 경기장"
506,(자막) 극장판 원피스 6기 : 오마츠리 남작과 비밀의 섬,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
507,센류소녀,발랄가볍,"우정, 성장, 감동, 일상, 개그, 학교"
508,ARIA The ANIMATION,nan,"성장, 감동, 일상, 치유, 마을, 바다"
509,극장판 주문은 토끼입니까? ~Dear my sister~,"미소녀, 발랄가볍","우정, 일상, 치유, 학교, 마을, 집, 상점"
510,공의 경계 5장 모순나선,nan,"철학, 판타지, 액션, 추리, 미스터리"
511,도메스틱한 그녀,nan,"삼각관계, 무거움, 몽환, 로맨스, 마을"
512,우리는 공부를 못해 part 2,"선생님, 발랄가볍","개그, 하렘, 학교"
513,킹 오브 프리즘 샤이니 세븐스타즈,"연예인, 발랄가볍, 아이돌","우정, 경쟁, 감동, 음악, 경기장, 공연장"
514,사쿠라코 씨의 발밑에는 시체가 묻혀 있다,카리스마,"무거움, 추리, 미스터리, 범죄, 스릴러, 학교"
515,좋아하게 되는 그 순간을 ~고백실행위원회~,nan,"삼각관계, 짝사랑, 로맨스, 학교"
516,디지몬 어드벤처 1기 : 운명적 만남,nan,"우정, 성장, 배틀, 이세계, 판타지, 액션, 개그, 스포츠, 학교, 상상의 장소, 집"
517,시맨틱 에러 스페셜 개정판,nan,"BL, 학교, 여성향"
518,제로에서 시작하는 마법의 서,"요괴 및 괴물, 발랄가볍","마법, 판타지, 액션"
519,아다치와 시마무라,발랄가볍,"학교, 마을"
520,(더빙) 나의 히어로 아카데미아 4기,"히어로, 이능력, 먼치킨","우정, 성장, 배틀, 판타지, 액션, SF, 학교, 마을"
521,우국의 모리아티 part 2,nan,"두뇌싸움, 서양풍, 무거움, 추리, 미스터리, 범죄, 마을, 드라마"
522,미라큘러스: 레이디버그와 블랙캣 시즌 1,"히어로, 주체적 여성","판타지, 액션, 아동, 로맨스"
523,슈가슈가룬 part 2,발랄가볍,"성장, 경쟁, 마법, 감동, 판타지, 액션, 아동, 로맨스, 사후세계"
524,야한 이야기라는 개념이 존재하지 않는 지루한 세계,교복,"개그, 학교, 마을"
525,쓰르라미 울 적에 업 part 1,교복,"두뇌싸움, 루프물, 무거움, 판타지, 추리, 공포, 학교, 마을"
526,(자막) 블랙 클로버 3기,열혈,"성장, 마법, 판타지, 액션"
527,(더빙) 반요 야샤히메 1기,요괴 및 괴물,"동양풍, 판타지, 액션, 개그, 로맨스, 시대물"
528,(자막) 극장판 원피스 4기 : 데드 엔드의 모험,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
529,러브 라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,"미소녀, 연예인, 발랄가볍, 교복, 아이돌","우정, 성장, 대회, 음악, 학교, 공연장"
530,K 1기,이능력,"정치, 판타지, 액션, 상상의 장소, 왕궁 및 성"
531,아이돌 마스터 신데렐라 걸즈,"미소녀, 연예인, 발랄가볍, 귀여움, 아이돌","우정, 성장, 감동, 음악, 공연장, 회사"
532,아이돌리쉬 세븐 Third BEAT!,"미소년, 아이돌","성장, 감동, 음악, 공연장"
533,조난입니까?,"미소녀, 발랄가볍","생존, 재난, 섬"
534,(더빙) 썸머 워즈,먼치킨,"게임, 두뇌싸움, 감동, 액션, 개그, 로맨스, SF, 미스터리, 상상의 장소, 집, 농촌"
535,음란한 아오는 공부를 할 수 없어,nan,"개그, 로맨스, 학교"
536,(더빙) 학원 앨리스,발랄가볍,"우정, 판타지, 학교"
537,감옥학원,발랄가볍,"개그, 하렘, 학교, 감옥"
538,내가 아가씨 학교에 서민샘플로 납치당한 사건,"발랄가볍, 교복","개그, 로맨스, 하렘, 학교"
539,나팔꽃과 카세씨,발랄가볍,"성장, 학교"
540,새여동생 마왕의 계약자,"마왕, 교복, 먼치킨","판타지, 액션, 개그, 로맨스, 집"
541,우마무스메 : 프리티 더비 1기,"미소녀, 동물, 발랄가볍","우정, 성장, 경쟁, 감동, 스포츠, 경기장"
542,(더빙) 괴물의 아이,선생님,"성장, 가족, 감동, 판타지, 액션, 개그"
543,나루토 질풍전 6기,"이능력, 먼치킨","우정, 성장, 배틀, 전쟁, 동양풍, 복수, 판타지, 액션, 마을"
544,빨간망토 챠챠,귀여움,"우정, 마법, 판타지, 개그, 학교, 마을, 회사"
545,용왕이 하는 일!,열혈,"성장, 두뇌싸움, 스포츠, 집, 경기장"
546,토끼 드롭스,nan,"성장, 가족, 육아, 감동, 일상, 치유, 마을, 집, 노이타미나, 드라마"
547,썬더 일레븐 1기,nan,"우정, 배틀, 감동, 판타지, 스포츠"
548,(자막) 극장판 원피스 1기 : 황금의 대해적 우난,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
549,(자막) 극장판 보루토 : 나루토 더 무비,"이능력, 먼치킨","우정, 성장, 배틀, 전쟁, 동양풍, 복수, 판타지, 액션, 마을"
550,스트라이크 더 블러드 2기,"미소녀, 뱀파이어, 발랄가볍, 교복, 먼치킨","마법, 판타지, 액션"
551,공의 경계 7장 살인고찰 (후),nan,"철학, 판타지, 액션, 추리, 미스터리"
552,하얀 모래의 아쿠아톱 part 1,동물,드라마
553,호시아이의 하늘,nan,"동아리, 감동, 스포츠, 경기장"
554,공의 경계 2장 살인고찰 (전),nan,"철학, 판타지, 액션, 추리, 미스터리"
555,요르문간드 1기,"주체적 여성, 카리스마","우정, 전쟁, 비밀조직, 무거움, 액션, 범죄"
556,마루 밑 아리에티,귀여움,"감동, 몽환, 판타지"
557,나루토 질풍전 8기,"이능력, 먼치킨","우정, 성장, 배틀, 전쟁, 동양풍, 복수, 판타지, 액션, 마을"
558,나카노히토 게놈 [실황중],발랄가볍,"게임, 생존"
559,러브 앤 프로듀서,"연예인, 미소년","역하렘, 로맨스, 미스터리, 드라마"
560,프리티 리듬 오로라드림,"연예인, 발랄가볍, 아이돌","우정, 경쟁, 감동, 음악, 경기장, 공연장"
561,(더빙) 케모노 프렌즈,동물,"우정, 감동, 일상, 개그, 치유, 상상의 장소, 자연"
562,아르테,nan,"서양풍, 시대물, 드라마"
563,바보걸,교복,"일상, 개그, 로맨스, 학교, 회사"
564,공의 경계 3장 통각잔류,nan,"철학, 판타지, 액션, 추리, 미스터리"
565,극장판 XXX 홀릭 : 한여름 밤의 꿈,nan,"마법, 철학, 몽환, 판타지, 로맨스, SF, 미스터리, 상점"
566,나루토 질풍전 5기,"이능력, 먼치킨","우정, 성장, 배틀, 전쟁, 동양풍, 복수, 판타지, 액션, 마을"
567,(자막) 나소흑전기 : 첫만남편,요괴 및 괴물,"마법, 판타지, 액션"
568,(더빙) 페어리 테일 9기,nan,"우정, 성장, 배틀, 마법, 판타지, 액션"
569,한다 군 - 판권 부활,"발랄가볍, 교복, 미소년","우정, 성장, 감동, 일상, 개그, 학교, 섬, 농촌"
570,유녀전기 -Saga of Tanya the Evil Movie-,먼치킨,"마법, 전쟁, 서양풍, 환생, 무거움, 판타지, 액션, 상상의 장소"
571,(더빙) 페어리 테일 7기,nan,"우정, 성장, 배틀, 마법, 판타지, 액션"
572,식극의 소마 네 번째 접시,미소녀,"성장, 배틀, 경쟁, 음식, 학교"
573,(자막) 극장판 원피스 8기 : 사막의 공주와 해적들,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
574,핑구 시즌 1,동물,"감동, 아동, 일상, 개그, 상상의 장소"
575,내 옆에 암흑파괴신이 있습니다,nan,"우정, 개그, 학교"
576,극장판 코드기아스 반역의 를르슈 2부 -반도-,"이능력, 로봇, 미소년, 먼치킨","전쟁, 두뇌싸움, 정치, 복수, 무거움, 판타지, 액션, SF, 학교"
577,(더빙) 페어리 테일 5기,nan,"우정, 성장, 배틀, 마법, 판타지, 액션"
578,닥터스톤 2기,nan,"생존, 판타지, 액션, SF, 자연"
579,(더빙) 페어리 테일 10기,nan,"우정, 성장, 배틀, 마법, 판타지, 액션"
580,(더빙) 페어리 테일 6기,nan,"우정, 성장, 배틀, 마법, 판타지, 액션"
581,그 여름,nan,"학교, 드라마"
582,킹 오브 프리즘 : 프라이드 더 히어로,"연예인, 발랄가볍, 아이돌","우정, 경쟁, 감동, 음악, 경기장, 공연장"
583,공의 경계 4장 가람의 동,nan,"철학, 판타지, 액션, 추리, 미스터리"
584,데이트 어 라이브 Ⅲ,싸우는 미소녀,"배틀, 판타지, 액션, 개그, 로맨스, 하렘"
585,게이머즈!,"발랄가볍, 교복","게임, 동아리, 개그, 로맨스, 학교"
586,극장판 짱구는 못말려 5기 : 암흑 마왕 대추적,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
587,(더빙) 페어리 테일 3기,nan,"우정, 성장, 배틀, 마법, 판타지, 액션"
588,GANGSTA.,이능력,"배틀, 비밀조직, 무거움, 철학, 액션, SF, 범죄, 감옥"
589,K RETURN OF KINGS,이능력,"배틀, 정치, 판타지, 액션, 상상의 장소, 왕궁 및 성"
590,쿠로코의 농구 윈터컵 - 그림자와 빛,"이능력, 열혈, 미소년, 먼치킨","우정, 판타지, 스포츠, 학교, 경기장"
591,이세계 마왕과 소환 소녀의 노예 마술 Ω,"미소녀, 먼치킨","마법, 이세계, 판타지, 하렘"
592,쿠로코의 농구 윈터컵 - 문의 저편,"이능력, 열혈, 미소년, 먼치킨","우정, 판타지, 스포츠, 학교, 경기장"
593,원피스: 에피소드 오브 나미 ~항해사의 눈물과 동료의 인연~,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
594,"너와 나의 최후의 전장, 혹은 세계가 시작하는 성전",nan,"마법, 전쟁, 판타지, 액션, 로맨스, 마을"
595,(자막) 오소마츠 6쌍둥이 3기,"발랄가볍, 쌍둥이","가족, 충격의 1화, 감동, 개그, 학교, 마을"
596,나루토 질풍전 9기,"이능력, 먼치킨","우정, 성장, 배틀, 전쟁, 동양풍, 복수, 판타지, 액션, 마을"
597,(자막) 명탐정 코난 2기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 추리, 범죄, 학교"
598,단간론파 3 The End of 키보가미네 학원 - 절망편,nan,"게임, 두뇌싸움, 살인, 무거움, 추리, 미스터리, 범죄, 스릴러, 학교"
599,노래하는☆왕자님♪ 진심 LOVE 킹덤,"연예인, 발랄가볍, 미소년, 아이돌","역하렘, 개그, 로맨스, 음악, 학교"
600,(더빙) 페어리 테일 8기,nan,"우정, 성장, 배틀, 마법, 판타지, 액션"
601,마술선배,미소녀,"동아리, 일상, 개그, 학교"
602,연애폭군,"악마 또는 천사, 발랄가볍, 교복","삼각관계, 판타지, 개그, 로맨스, 하렘, 학교"
603,글레이프니르,열혈,"성장, 배틀, 판타지, 액션, 마을, 남성향"
604,원피스: 에피소드 오브 루피 ~핸드 아일랜드의 모험~,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
605,(더빙) 페어리 테일 2기,nan,"우정, 성장, 배틀, 마법, 판타지, 액션"
606,대 마도학원 35시험소대,먼치킨,"배틀, 판타지, 액션, 하렘, 학교"
607,극장판 코드기아스 반역의 를르슈 3부 -황도-,"이능력, 로봇, 미소년, 먼치킨","전쟁, 두뇌싸움, 정치, 복수, 무거움, 판타지, 액션, SF, 학교"
608,새여동생 마왕의 계약자 BURST,"마왕, 교복","판타지, 액션, 개그, 로맨스, 집"
609,귀를 기울이면,귀여움,"가족, 감동, 몽환, 판타지, 치유, 농촌"
610,(자막) 킹 오브 프리즘,"연예인, 발랄가볍, 아이돌","우정, 경쟁, 감동, 음악, 경기장, 공연장"
611,슈퍼커브,nan,"우정, 성장, 감동, 일상, 치유, 마을"
612,나츠메 우인장 : 이시오코시와 수상한 방문자,"요괴 및 괴물, 미소년","동양풍, 감동, 철학, 판타지, 일상, 치유, 미스터리, 마을, 자연, 드라마"
613,(자막) 명탐정 코난 2021,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 범죄"
614,(무삭제) 이종족 리뷰어스,nan,"판타지, 상상의 장소, 남성향"
615,쿠로코의 농구 윈터컵 - 눈물의 끝에,"이능력, 열혈, 미소년, 먼치킨","우정, 판타지, 스포츠, 학교, 경기장"
616,단칸방의 침략자!?,"요괴 및 괴물, 외계인, 발랄가볍","감동, 판타지, 개그, 로맨스, 하렘, 학교"
617,단간론파3 The End of 키보가미네 학원 - 미래편,nan,"비밀조직, 살인, 생존, 무거움, 액션, 추리, 미스터리, 범죄, 스릴러"
618,사랑한다고 말해,교복,"로맨스, 학교"
619,하이스쿨 D×D HERO,"열혈, 악마 또는 천사, 싸우는 미소녀, 먼치킨","배틀, 마법, 판타지, 액션, 개그, 하렘, 학교, 사후세계"
620,논논비요리 : 베케이션,교복,"감동, 일상, 개그, 치유, 학교, 농촌"
621,(자막) 오소마츠 6쌍둥이 2기,"발랄가볍, 쌍둥이","가족, 충격의 1화, 감동, 개그, 학교, 마을"
622,복면계 노이즈,발랄가볍,"삼각관계, 짝사랑, 로맨스, 음악"
623,(자막) 오소마츠 6쌍둥이 1기,"발랄가볍, 쌍둥이","가족, 충격의 1화, 감동, 개그, 학교, 마을"
624,극장판 나루토 질풍전 3기 : 불의 의지를 잇는 자,"이능력, 먼치킨","우정, 성장, 배틀, 전쟁, 동양풍, 복수, 판타지, 액션, 마을"
625,극장판 짱구는 못말려 11기 : 태풍을 부르는 영광의 불고기 로드,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
626,공의 경계 6장 망각녹음,nan,"철학, 판타지, 액션, 미스터리"
627,(더빙) 원피스 2기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
628,(더빙) 프리파라 1기,"연예인, 발랄가볍, 아이돌","우정, 아동, 음악"
629,(자막) 원피스 22기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
630,타다 군은 사랑을 하지 않는다,발랄가볍,"개그, 로맨스"
631,(더빙) 페어리 테일 4기,nan,"우정, 성장, 배틀, 마법, 판타지, 액션"
632,언덕길의 아폴론,교복,"우정, 성장, 삼각관계, 짝사랑, 감동, 철학, 슬픔, 로맨스, 치유, 음악, 학교, 농촌, 노이타미나, 드라마"
633,(자막) 극장판 오소마츠 6쌍둥이,"발랄가볍, 쌍둥이","가족, 충격의 1화, 감동, 개그, 학교, 마을"
634,메이저,nan,"우정, 성장, 경쟁, 대회, 스포츠, 학교, 경기장"
635,짱구는 못말려 24기 : 폭풍수면! 꿈꾸는 세계 대돌격,"발랄가볍, 귀여움","가족, 감동, 판타지, 일상, 개그, 학교, 집, 회사"
636,극장판 짱구는 못말려 7기 : 폭발! 온천부글부글 대작전,"발랄가볍, 귀여움","가족, 감동, 판타지, 일상, 개그, 학교, 집, 회사"
637,요리왕 비룡,먼치킨,"배틀, 경쟁, 대회, 시대물, 음식, 경기장, 상점"
638,캐릭캐릭 체인지 파티,마법소녀,"판타지, 로맨스, 학교"
639,로그 호라이즌 : 원탁붕괴,"이능력, 먼치킨","이세계, 게임, 서양풍, 판타지, 액션, SF"
640,(자막) 극장판 원피스 7기 : 기계태엽성의 메카 거병,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
641,(자막) 명탐정 코난 3기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, SF, 추리, 범죄, 바다"
642,RE-MAIN,발랄가볍,"동아리, 스포츠, 치유, 학교"
643,내 여자친구가 너무 성실한 처녀 빗치인 건,nan,"일상, 로맨스, 하렘, 학교"
644,Fate/Grand Order,먼치킨,"성장, 배틀, 마법, 서양풍, 무거움, 철학, 판타지, 액션, 마을"
645,이니셜 D First Stage,자동차,"배틀, 경쟁, 스포츠, 경기장"
646,요르문간드 2기,"주체적 여성, 카리스마","우정, 전쟁, 비밀조직, 무거움, 액션, 범죄"
647,순백의 소리,nan,"우정, 성장, 음악, 학교, 드라마"
648,(더빙) 기동전사 건담,로봇,"배틀, 정치, 무거움, 철학, 액션, SF"
649,(자막) 극장판 원피스 5기 : 저주받은 성검,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
650,역경무뢰 카이지 part 1,nan,"게임, 두뇌싸움, 무거움, 철학, 범죄, 스릴러, 경기장"
651,Sonny Boy,이능력,"판타지, SF"
652,거친 계절의 소녀들이여,"미소녀, 발랄가볍","감동, 일상, 학교"
653,(스튜딘 버전) 극장판 Fate/stay night : Unlimited Blade Works,먼치킨,"성장, 배틀, 마법, 서양풍, 무거움, 철학, 판타지, 액션, 마을"
654,(자막) 명탐정 코난 4기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 범죄, 학교"
655,(더빙) 쥬로링 동물탐정,"마법소녀, 동물, 발랄가볍, 귀여움","판타지, 액션, 아동, 일상, 개그, 추리"
656,쌍성의 음양사,"이능력, 미소년, 먼치킨","배틀, 퇴마, 판타지, 액션, 개그, 로맨스"
657,식극의 소마 다섯 번째 접시,미소녀,"성장, 배틀, 경쟁, 음식, 학교"
658,가극 소녀!!,미소녀,"음악, 드라마"
659,미소년 탐정단,미소년,"성장, 두뇌싸움, 추리"
660,겁쟁이 페달 3기 NEW GENERATION,"열혈, 오타쿠, 먼치킨","우정, 성장, 경쟁, 동아리, 감동, 스포츠, 학교, 마을, 경기장"
661,진격의 거인 : 크로니클,군인,"복수, 생존, 무거움, 판타지, 액션, 미스터리, 공포, 재난, 마을"
662,극장판 짱구는 못말려 8기 : 폭풍을 부르는 정글,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
663,극장판 짱구는 못말려 6기 : 돼지발굽 대작전,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
664,페르소나 5 the Animation,"이능력, 도둑, 교복","우정, 성장, 이세계, 판타지, 액션, 추리, 미스터리, 범죄, 학교, 마을, 상상의 장소"
665,(더빙) 전직고수,먼치킨,"게임, 판타지, 액션, 스포츠"
666,아르슬란 전기 1기,nan,"성장, 마법, 전쟁, 정치, 판타지, 액션, 시대물, 왕궁 및 성"
667,겁쟁이 페달 4기 GLORY LINE,"열혈, 오타쿠, 먼치킨","우정, 성장, 경쟁, 동아리, 감동, 스포츠, 학교, 마을, 경기장"
668,탐정은 이미 죽었다.,nan,"배틀, 판타지, 개그, 로맨스, 미스터리"
669,고스트 바둑왕 part 1,"귀신, 먼치킨","성장, 경쟁, 두뇌싸움, 판타지, 학교, 경기장, 회사"
670,소꿉친구가 절대로 지지 않는 러브 코미디,연예인,"연기, 개그, 로맨스, 하렘, 학교"
671,극장판 블리치 1~4기,카리스마,"배틀, 동양풍, 퇴마, 판타지, 액션, 개그, 사후세계"
672,PSYCHO-PASS Sinners of the System,nan,"무거움, 철학, 액션, SF, 추리, 범죄, 스릴러, 노이타미나, 디스토피아"
673,(자막) 명탐정 코난 17기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 추리, 범죄, 학교"
674,어새신즈 프라이드,미소녀,"판타지, 액션, 상상의 장소"
675,짱구는 못말려 21기 : 엄청 맛있어! B급 음식 서바이벌!,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
676,(더빙) 명탐정 코난 : 진홍의 수학여행,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 범죄"
677,BanG Dream! 걸파☆피코,"미소녀, 발랄가볍, 아이돌","성장, 동아리, 감동, 일상, 개그, 음악, 학교, 공연장"
678,테일즈 오브 제스티리아 더 크로스,nan,"마법, 판타지, 액션, 상상의 장소"
679,고블린 슬레이어 : 고블린즈 크라운,nan,"복수, 무거움, 판타지, 액션, 상상의 장소"
680,극장판 짱구는 못말려 1기 : 액션가면 VS 그래그래 마왕,"발랄가볍, 귀여움","가족, 감동, 일상, 개그"
681,던전에서 만남을 추구하면 안 되는 걸까 Ⅱ OVA,발랄가볍,"성장, 마법, 판타지, 액션, 하렘, 상상의 장소"
682,리라이프 FINAL ARC,교복,"성장, 감동, 로맨스, SF, 학교, 드라마"
683,신의 탑,"이능력, 미소년, 먼치킨","배틀, 경쟁, 판타지, 액션, 개그"
684,(더빙) 원피스 3기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
685,(더빙) 바이올렛 에버가든 : 영원과 자동 수기 인형,nan,"성장, 전쟁, 감동, 로맨스, 시대물, 드라마"
686,마기아 레코드 : 마법소녀 마도카☆마기카 외전,"미소녀, 마법소녀","우정, 마법, 무거움, 판타지, 액션, 학교, 마을, 상상의 장소"
687,이세계 피크닉,요괴 및 괴물,"판타지, SF"
688,극장판 짱구는 못말려 12기 : 폭풍을 부르는 석양의 떡잎마을 방범대,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
689,아기공룡 둘리 : 얼음별 대모험,발랄가볍,"성장, 가족, 여행, 감동, 판타지, 개그, 집"
690,지저귀는 새는 날지 않는다 미니 애니메이션,nan,"무거움, BL, 회사"
691,아이돌 마스터 SideM,"연예인, 아이돌","우정, 성장, 감동, 개그, 음악"
692,공의 경계 미래복음-Extra Chorus,nan,"철학, 판타지, 액션, 추리, 미스터리"
693,극장판 나루토 질풍전 1기 : 나루토의 죽음,"이능력, 먼치킨","우정, 성장, 배틀, 전쟁, 동양풍, 복수, 판타지, 액션, 마을"
694,극장판 1기 포켓몬스터: 뮤츠의 역습,nan,"우정, 성장, 배틀, 철학, 판타지, 액션"
695,육화의 용사,이능력,"배틀, 두뇌싸움, 서양풍, 무거움, 판타지, 액션, 스릴러, 상상의 장소, 사후세계"
696,(더빙) 소년탐정 김전일 Original 1기,"탐정, 먼치킨","두뇌싸움, 살인, 무거움, 추리, 범죄, 스릴러, 학교"
697,아웃브레이크 컴퍼니 - 판권 부활,발랄가볍,"판타지, 개그, 로맨스, 하렘, 상상의 장소"
698,몬스터 아가씨의 의사 선생님,요괴 및 괴물,"판타지, 로맨스, 마을"
699,조커 게임,"군인, 카리스마","전쟁, 두뇌싸움, 정치, 무거움, 액션, 시대물, 범죄, 스릴러"
700,공의 경계 미래복음,nan,"철학, 판타지, 액션, 추리, 미스터리"
701,헌드레드,"군인, 먼치킨","판타지, 액션, SF, 하렘, 학교"
702,신비아파트 : 고스트볼X의 탄생,"요괴 및 괴물, 귀신, 발랄가볍","판타지, 액션, 아동, 공포"
703,루팡 3세 VS 명탐정 코난,"탐정, 먼치킨","두뇌싸움, 비밀조직, 서양풍, 추리, 범죄"
704,(자막) 명탐정 코난 5기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 범죄"
705,안녕! 보노보노 1기,"동물, 귀여움","성장, 감동, 철학, 아동, 일상, 개그, 치유, 자연"
706,베르세르크 2016,"악마 또는 천사, 군인, 카리스마","전쟁, 복수, 서양풍, 무거움, 철학, 슬픔, 판타지, 액션, 사후세계, 왕궁 및 성"
707,히어로 써클,"히어로, 이능력, 발랄가볍","우정, 동아리, 개그, 마을"
708,달의 요정 세일러 문 R,"미소녀, 마법소녀, 싸우는 미소녀, 교복","판타지, 액션, 개그, 로맨스, 학교"
709,D4DJ First Mix,"미소녀, 발랄가볍, 아이돌","음악, 학교, 공연장"
710,걸즈 앤 판처,"미소녀, 싸우는 미소녀, 귀여움","우정, 성장, 액션, 학교"
711,(더빙) 오소마츠 6쌍둥이 3기,"발랄가볍, 쌍둥이","가족, 충격의 1화, 감동, 개그, 학교, 마을"
712,(자막) 극장판 원피스 3기 : 진기한 동물섬의 쵸파왕국,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
713,(자막) 명탐정 코난 : 비색의 부재증명,"탐정, 먼치킨","두뇌싸움, 비밀조직, 살인, 추리, 범죄"
714,(무삭제) 불쾌한 모노노케안 속,"요괴 및 괴물, 발랄가볍, 귀여움","감동, 일상, 개그, 치유, 사후세계"
715,그녀도 여친,발랄가볍,"개그, 로맨스, 하렘, 남성향"
716,샤먼킹,귀신,"배틀, 대회, 판타지, 액션, 개그, 학교"
717,(더빙) 오소마츠 6쌍둥이 2기,"발랄가볍, 쌍둥이","가족, 충격의 1화, 감동, 개그, 학교, 마을"
718,(더빙) 원피스 14기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
719,짱구는 못말려 14기 : 전설을 부르는 춤! 아미고!,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
720,(더빙) 바람의 검심,카리스마,"우정, 성장, 동양풍, 액션, 시대물, 무협"
721,(더빙) 극장판 오소마츠 6쌍둥이,"발랄가볍, 쌍둥이","가족, 충격의 1화, 감동, 개그, 학교, 마을"
722,극장판 Fate/kaleid liner 프리즈마 이리야 : 설하의 맹세,"미소녀, 먼치킨","성장, 배틀, 마법, 서양풍, 무거움, 판타지, 액션, 마을"
723,(자막) 극장판 원피스 2기 : 네지마키 섬의 모험,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
724,(자막) 환상게임,교복,"이세계, 역하렘, 슬픔, 판타지, 액션, 로맨스, 상상의 장소"
725,오렌지 : 미래,교복,"삼각관계, 루프물, 시간여행, 감동, 슬픔, 판타지, 로맨스, 학교, 집, 회사"
726,공의 경계 종장,nan,"철학, 판타지, 액션, 추리, 미스터리"
727,Fate Grand Carnival,nan,"배틀, 마법, 서양풍, 판타지, 개그, 마을"
728,예스터데이를 노래하며,nan,"삼각관계, 감동, 일상, 로맨스, 마을"
729,꿈의 보석 프리즘스톤,"연예인, 발랄가볍, 아이돌","우정, 경쟁, 감동, 음악, 경기장, 공연장"
730,극장판 짱구는 못말려 3기 : 흑부리 마왕의 야망,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
731,마리아님이 보고 계셔 1기,nan,"우정, 감동, 일상, 학교"
732,신만이 아는 세계 - 판권 부활,"악마 또는 천사, 오타쿠, 교복, 미소년, 먼치킨","게임, 판타지, 개그, 로맨스, 하렘, 학교, 집, 사후세계, 회사"
733,극장판 짱구는 못말려 2기 : 부리부리 왕국의 보물,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
734,(더빙) 극장판 보루토 : 나루토 더 무비,"이능력, 먼치킨","우정, 성장, 배틀, 전쟁, 동양풍, 복수, 판타지, 액션, 마을"
735,어설트 릴리 BOUQUET,"미소녀, 마법소녀, 싸우는 미소녀, 교복","마법, 액션, SF, 학교"
736,(더빙) 원피스 4기,"이능력, 카리스마","우정, 성장, 배틀, 판타지, 액션, 개그, 바다, 섬"
737,썬더 일레븐 2기,nan,"우정, 배틀, 감동, 판타지, 스포츠"
738,짱구는 못말려 18기 : 초시공! 폭풍을 부르는 나의 신부,"발랄가볍, 귀여움","가족, 감동, 일상, 개그, 학교, 집, 회사"
739,속 오와리모노가타리,"요괴 및 괴물, 뱀파이어","가족, 무거움, 판타지, 액션, 개그, 하렘, 미스터리, 학교, 마을, 집"
740,나만 들어가는 숨겨진 던전,먼치킨,"판타지, 액션, 로맨스, 하렘"
741,스케이트 리딩☆스타즈,"발랄가볍, 미소년","스포츠, 경기장"
742,(더빙) 무적코털 보보보 시즌 1,"히어로, 열혈","액션, 개그, SF"
743,(자막) 명탐정 코난 14기,"탐정, 먼치킨","두뇌싸움, 비밀조직, 추리, 범죄, 학교"
